"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
317, 2.936747285753883e-02, -2.812882736561467e-02, 1.043007895907938e+05, 6.555526750012856e-02, 7.588557476322267e-01
316, 3.498394656446979e-02, -3.042347597056558e-02, 1.011649529677970e+05, -3.525762050223931e-03, 7.911531291044506e-01
315, 4.113081920708319e-02, -3.267308918284396e-02, 9.834889729056752e+04, -6.556216535882770e-02, 8.201714198619952e-01
314, 4.783110562955175e-02, -3.487913936816256e-02, 9.580630753092957e+04, -1.215742410619654e-01, 8.464923989493908e-01
313, 5.511040512442949e-02, -3.704017053710671e-02, 9.348169110264332e+04, -1.727844651527236e-01, 8.706452573458345e-01
312, 6.299565860887343e-02, -3.915324622468128e-02, 9.134210018806967e+04, -2.199186628055569e-01, 8.929397298857424e-01
311, 7.151469083498557e-02, -4.121360486203512e-02, 8.936701390015893e+04, -2.634288996651746e-01, 9.136221107543334e-01
310, 8.069524140971975e-02, -4.321654781480477e-02, 8.753027426138362e+04, -3.038914238706862e-01, 9.329586907516646e-01
309, 9.056504406740368e-02, -4.515476795656112e-02, 8.581224234029827e+04, -3.417388719930062e-01, 9.511249084874053e-01
203, 4.456572072274746e-01, 5.597779938099665e-02, 5.201712617497395e+04, -1.086229640853029e+00, 1.349664972251030e+00
204, 4.693124030940611e-01, 5.470942300106307e-02, 5.164695604841188e+04, -1.094384317427746e+00, 1.354112278203246e+00
205, 4.930525964196746e-01, 5.329892118800329e-02, 5.136021301577910e+04, -1.100701133732969e+00, 1.359666303224836e+00
206, 5.167848680454782e-01, 5.176074526250803e-02, 5.100903624291247e+04, -1.108437395515833e+00, 1.361501066983957e+00
207, 5.404164855505578e-01, 5.011031086833802e-02, 5.092472620134757e+04, -1.110294706713114e+00, 1.368776191591859e+00
208, 5.638563758446214e-01, 4.836354050646498e-02, 5.038041581730083e+04, -1.122285612568714e+00, 1.367467095634117e+00
209, 5.870164114319917e-01, 4.653653533750571e-02, 5.182593539835238e+04, -1.090441485179576e+00, 1.362262812858935e+00
210, 6.098127451599872e-01, 4.464530685108623e-02, 5.369423858957950e+04, -1.049283630521053e+00, 1.296251550916549e+00
211, 6.321669360369914e-01, 4.270556178141494e-02, 7.390466444251062e+04, -6.040573022956842e-01, 9.776785924940461e-01
212, 6.540069264110646e-01, 4.073238210504949e-02, 1.004598101465130e+05, -1.905973206546669e-02, 7.469108310208834e-01
213, 6.752678372714851e-01, 3.874004619089697e-02, 1.030049454451982e+05, 3.700842068481527e-02, 7.355312179530347e-01
214, 6.958925736343555e-01, 3.674199268880568e-02, 1.013344935573866e+05, 2.091386756404295e-04, 7.500864593879492e-01
215, 7.158321990573211e-01, 3.475055326488645e-02, 1.007347557467681e+05, -1.300280773571344e-02, 7.543238639203380e-01
216, 7.350461355433283e-01, 3.277701208564763e-02, 1.012010609795021e+05, -2.730319263022600e-03, 7.502487053484137e-01
217, 7.535021493395924e-01, 3.083145872662608e-02, 1.016570507109447e+05, 7.314923490198553e-03, 7.460743323422271e-01
218, 7.711761867760923e-01, 2.892289883533425e-02, 1.019912349084663e+05, 1.467684670231610e-02, 7.424874475857848e-01
219, 7.880520309742998e-01, 2.705911995273880e-02, 1.023911183900696e+05, 2.348609473735451e-02, 7.381848719501478e-01
220, 8.041208555728429e-01, 2.524679411169117e-02, 1.028716259826889e+05, 3.407145462551801e-02, 7.331386131112931e-01
238, 9.731020358451782e-01, 3.842544268587139e-03, 1.140841955607990e+05, 2.810791732931283e-01, 6.107409319773781e-01
239, 9.774962952126542e-01, 3.223806116823209e-03, 1.148625263977204e+05, 2.982254414217076e-01, 6.018502515414047e-01
240, 9.815514946996549e-01, 2.649735016841728e-03, 1.157138126576576e+05, 3.169788837558067e-01, 5.924009986315406e-01
241, 9.852912954899031e-01, 2.117667682649262e-03, 1.165998678407860e+05, 3.364982693768727e-01, 5.818539337185452e-01
242, 9.887381035378183e-01, 1.625014501711555e-03, 1.176800821823891e+05, 3.602948914029523e-01, 5.707863596858588e-01
